Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species	ASV	SUM	Percent	CA1	CA2	CA3	GCA1	GCA2	GCA3	GNA1	GNA2	GNA3	NA1	NA2	NA3
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	s__unclassified_g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	ASV21	530	0.004774259	33	79	47	0	14	33	29	138	15	37	96	9
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__unclassified_g__Pseudomonas	ASV259	158	0.00142327	0	0	0	0	0	0	20	134	4	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Altererythrobacter	s__unclassified_g__Altererythrobacter	ASV283	1213	0.010926747	0	0	0	0	0	0	8	123	1082	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Corynebacteriales	f__Nocardiaceae	g__Rhodococcus	s__unclassified_g__Rhodococcus	ASV11	1409	0.012692322	87	199	109	61	97	187	51	112	61	90	86	269
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Methylophilaceae	g__Methylobacillus	s__unclassified_g__Methylobacillus	ASV84	279	0.002513242	11	17	12	38	20	25	15	95	20	11	0	15
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__unclassified_f__Oxalobacteraceae	s__unclassified_f__Oxalobacteraceae	ASV326	262	0.002360105	0	0	0	109	0	0	0	95	0	0	58	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unclassified_f__Comamonadaceae	s__unclassified_f__Comamonadaceae	ASV2	2754	0.024808129	278	1070	610	78	122	119	93	92	22	44	68	158
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__unclassified_f__Oxalobacteraceae	s__unclassified_f__Oxalobacteraceae	ASV52	571	0.005143588	0	30	0	0	105	125	90	86	67	28	0	40
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_sp._WW3	ASV125	170	0.001531366	0	9	15	6	13	3	6	70	7	9	15	17
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Methylophilaceae	g__unclassified_f__Methylophilaceae	s__unclassified_f__Methylophilaceae	ASV40	307	0.002765467	9	39	40	13	29	70	15	69	0	0	10	13
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium	s__unclassified_g__Sphingobium	ASV17	807	0.007269484	77	88	86	74	40	176	75	65	31	19	21	55
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium	s__unclassified_g__Sphingobium	ASV5	975	0.008782834	60	374	156	49	16	21	45	63	0	45	38	108
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Delftia	s__unclassified_g__Delftia	ASV33	771	0.006945195	34	44	50	61	63	95	75	61	41	75	70	102
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium	s__unclassified_g__Bradyrhizobium	ASV45	613	0.005521926	37	36	52	59	49	56	33	61	23	27	139	41
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__unclassified_g__Paenibacillus	ASV257	239	0.00215292	17	0	28	0	28	50	26	61	29	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	s__unclassified_g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	ASV23	473	0.004260801	0	71	54	0	24	14	54	59	0	197	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Massilia	s__unclassified_g__Massilia	ASV57	202	0.001819623	0	27	8	20	30	21	19	57	0	20	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unclassified_f__Comamonadaceae	s__unclassified_f__Comamonadaceae	ASV271	114	0.001026916	0	0	0	0	0	21	12	54	27	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Gammaproteobacteria_Incertae_Sedis	f__unclassified_o__Gammaproteobacteria_Incertae_Sedis	g__Candidatus_Ovatusbacter	s__uncultured_bacterium_g__Candidatus_Ovatusbacter	ASV32	260	0.002342089	36	44	36	0	0	0	11	48	4	18	23	40
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium	s__unclassified_g__Bradyrhizobium	ASV47	361	0.003251901	0	32	0	0	38	0	0	48	0	0	153	90
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__unclassified_g__Bacillus	ASV42	133	0.001198069	12	37	0	0	15	15	0	47	0	0	7	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__unclassified_f__Oxalobacteraceae	s__unclassified_f__Oxalobacteraceae	ASV327	145	0.001306165	0	0	0	0	0	46	0	45	0	0	36	18
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__unclassified_f__Erwiniaceae	s__unclassified_f__Erwiniaceae	ASV311	124	0.001116996	0	0	0	19	0	26	3	43	33	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unclassified_f__Comamonadaceae	s__unclassified_f__Comamonadaceae	ASV282	105	0.000945844	10	0	9	0	17	19	8	42	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__unclassified_g__Pseudomonas	ASV328	42	0.000378337	0	0	0	0	0	0	0	42	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__Methyloversatilis	s__unclassified_g__Methyloversatilis	ASV274	348	0.003134796	0	0	3	102	76	105	10	41	9	0	0	2
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Fictibacillus	s__unclassified_g__Fictibacillus	ASV39	98	0.000882787	0	40	0	0	0	0	0	41	0	12	5	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Delftia	s__unclassified_g__Delftia	ASV254	137	0.001234101	0	0	0	0	30	0	35	40	0	0	0	32
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unclassified_f__Comamonadaceae	s__unclassified_f__Comamonadaceae	ASV89	7787	0.07014557	0	16	0	1505	1452	912	0	38	0	1045	1913	906
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unclassified_f__Comamonadaceae	s__unclassified_f__Comamonadaceae	ASV37	229	0.00206284	14	41	11	45	24	12	11	37	0	0	14	20
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Corynebacteriales	f__Nocardiaceae	g__Rhodococcus	s__unclassified_g__Rhodococcus	ASV329	115	0.001035924	0	0	0	0	0	31	0	37	0	0	0	47
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__unclassified_f__Oxalobacteraceae	s__unclassified_f__Oxalobacteraceae	ASV330	271	0.002441178	0	0	0	56	46	40	0	36	0	0	0	93
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__unclassified_g__Pseudomonas	ASV331	35	0.000315281	0	0	0	0	0	0	0	35	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__unclassified_f__Erwiniaceae	s__unclassified_f__Erwiniaceae	ASV332	34	0.000306273	0	0	0	0	0	0	0	34	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__unclassified_g__Paenibacillus	ASV333	40	0.000360321	0	0	0	0	0	7	0	33	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__unclassified_g__Paenibacillus	ASV38	124	0.001116996	15	41	0	0	0	0	35	33	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__unclassified_f__Oxalobacteraceae	s__unclassified_f__Oxalobacteraceae	ASV83	247	0.002224985	0	17	0	62	68	50	0	33	0	0	0	17
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Cupriavidus	s__unclassified_g__Cupriavidus	ASV28	299	0.002693403	38	56	40	0	19	0	42	33	0	14	24	33
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__unclassified_g__Paenibacillus	ASV334	46	0.00041437	0	0	0	0	0	0	0	33	0	0	13	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Devosiaceae	g__Devosia	s__unclassified_g__Devosia	ASV87	185	0.001666487	22	16	0	0	15	22	17	30	0	21	21	21
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unclassified_f__Comamonadaceae	s__unclassified_f__Comamonadaceae	ASV189	325	0.002927611	19	0	12	49	93	72	0	30	0	50	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Azospirillales	f__Azospirillaceae	g__Azospirillum	s__unclassified_g__Azospirillum	ASV115	97	0.000873779	0	11	0	0	0	9	0	29	9	0	0	39
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Lysobacter	s__unclassified_g__Lysobacter	ASV252	67	0.000603538	0	0	0	0	0	0	39	28	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__unclassified_f__Alcaligenaceae	s__unclassified_f__Alcaligenaceae	ASV335	28	0.000252225	0	0	0	0	0	0	0	28	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Pseudolabrys	s__unclassified_g__Pseudolabrys	ASV24	1035	0.009323316	507	65	359	28	0	0	8	25	0	21	22	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Pseudonocardiales	f__Pseudonocardiaceae	g__Lechevalieria	s__unclassified_g__Lechevalieria	ASV199	552	0.004972435	84	0	32	22	66	20	169	24	31	26	60	18
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__unclassified_g__Sphingomonas	ASV246	75	0.000675603	0	0	7	15	6	20	0	24	0	3	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Methylophilaceae	g__unclassified_f__Methylophilaceae	s__unclassified_f__Methylophilaceae	ASV336	24	0.000216193	0	0	0	0	0	0	0	24	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__unclassified_g__Bacillus	ASV337	56	0.00050445	0	0	0	32	0	0	0	24	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	s__unclassified_g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	ASV277	43	0.000387346	0	0	0	0	0	0	10	23	0	0	0	10
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Microbacterium	s__unclassified_g__Microbacterium	ASV118	156	0.001405253	17	10	10	13	25	22	5	22	7	15	10	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingopyxis	s__unclassified_g__Sphingopyxis	ASV100	84	0.000756675	0	13	17	0	3	0	18	21	0	0	0	12
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Devosiaceae	g__Devosia	s__unclassified_g__Devosia	ASV16	321	0.002891579	12	93	31	21	11	31	10	21	0	37	21	33
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__unclassified_f__Solirubrobacteraceae	s__unclassified_f__Solirubrobacteraceae	ASV338	20	0.000180161	0	0	0	0	0	0	0	20	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__unclassified_f__Rhizobiaceae	s__unclassified_f__Rhizobiaceae	ASV35	340	0.003062732	19	43	17	32	40	37	49	20	10	26	19	28
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__unclassified_g__Sphingomonas	ASV339	20	0.000180161	0	0	0	0	0	0	0	20	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Massilia	s__unclassified_g__Massilia	ASV340	20	0.000180161	0	0	0	0	0	0	0	20	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Devosiaceae	g__Devosia	s__unidentified_eubacterium_clone_BSV03	ASV71	240	0.002161928	54	21	23	38	53	0	5	19	6	0	0	21
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Halobacillus	s__unclassified_g__Halobacillus	ASV341	50	0.000450402	0	0	0	0	0	0	0	19	31	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unclassified_f__Comamonadaceae	s__unclassified_f__Comamonadaceae	ASV202	167	0.001504342	0	0	0	36	53	32	4	18	0	24	0	0
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__unclassified_g__Bacillus	ASV290	25	0.000225201	0	0	0	0	0	0	7	18	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Devosiaceae	g__Devosia	s__unclassified_g__Devosia	ASV62	305	0.002747451	0	24	0	30	55	80	9	18	15	20	24	30
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__unclassified_f__Microbacteriaceae	s__unclassified_f__Microbacteriaceae	ASV342	22	0.000198177	0	0	0	0	0	0	0	17	5	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Arthrobacter	s__unclassified_g__Arthrobacter	ASV275	50	0.000450402	4	0	0	0	0	4	10	17	0	0	0	15
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Ensifer	s__unclassified_g__Ensifer	ASV120	140	0.001261125	0	10	7	10	22	7	18	17	9	30	10	0
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__unclassified_g__Staphylococcus	ASV343	17	0.000153137	0	0	0	0	0	0	0	17	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Ensifer	s__unclassified_g__Ensifer	ASV261	35	0.000315281	0	0	0	0	0	0	19	16	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__unclassified_f__Oxalobacteraceae	s__unclassified_f__Oxalobacteraceae	ASV196	107	0.00096386	0	0	0	20	14	28	0	16	0	29	0	0
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__unclassified_g__Paenibacillus	ASV81	40	0.000360321	0	18	0	0	7	0	0	15	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Gammaproteobacteria_Incertae_Sedis	f__unclassified_o__Gammaproteobacteria_Incertae_Sedis	g__Acidibacter	s__metagenome_g__Acidibacter	ASV344	21	0.000189169	0	0	0	0	6	0	0	15	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Cellvibrionales	f__Cellvibrionaceae	g__Cellvibrio	s__unclassified_g__Cellvibrio	ASV345	26	0.000234209	0	0	0	0	7	4	0	15	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Weeksellaceae	g__Chryseobacterium	s__unclassified_g__Chryseobacterium	ASV309	32	0.000288257	0	0	0	3	8	4	3	14	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingoaurantiacus	s__uncultured_Sphingomonadaceae_bacterium_g__Sphingoaurantiacus	ASV346	16	0.000144129	0	0	0	0	0	0	0	14	0	0	2	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__unclassified_f__Xanthomonadaceae	s__unclassified_f__Xanthomonadaceae	ASV19	217	0.001954744	0	83	33	0	11	69	7	14	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__unclassified_f__Alcaligenaceae	s__unclassified_f__Alcaligenaceae	ASV65	145	0.001306165	0	23	0	0	47	24	0	14	0	0	0	37
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__Mitochondria	g__norank_f__Mitochondria	s__Phyllostachys_praecox	ASV68	236	0.002125896	20	22	25	47	0	24	0	14	0	20	34	30
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__unclassified_g__Paenibacillus	ASV347	14	0.000126112	0	0	0	0	0	0	0	14	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Peptostreptococcaceae	g__Romboutsia	s__unclassified_g__Romboutsia	ASV348	14	0.000126112	0	0	0	0	0	0	0	14	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	s__unclassified_g__Brevundimonas	ASV133	51	0.00045941	6	8	0	9	6	8	0	14	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Massilia	s__unclassified_g__Massilia	ASV349	14	0.000126112	0	0	0	0	0	0	0	14	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Rhizobacter	s__unclassified_g__Rhizobacter	ASV97	111	0.000999892	25	14	28	12	0	0	0	14	0	10	8	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unclassified_f__Comamonadaceae	s__unclassified_f__Comamonadaceae	ASV350	14	0.000126112	0	0	0	0	0	0	0	14	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Burkholderia-Caballeronia-Paraburkholderia	s__unclassified_g__Burkholderia-Caballeronia-Paraburkholderia	ASV351	162	0.001459302	0	0	0	90	24	35	0	13	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__unclassified_g__Sphingomonas	ASV352	44	0.000396354	8	0	0	12	0	0	0	13	0	0	0	11
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__unclassified_c__Alphaproteobacteria	f__unclassified_c__Alphaproteobacteria	g__unclassified_c__Alphaproteobacteria	s__unclassified_c__Alphaproteobacteria	ASV298	16	0.000144129	0	0	0	0	0	0	4	12	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__unclassified_g__Streptomyces	ASV61	264	0.002378121	55	25	40	0	0	17	20	12	0	80	0	15
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__unclassified_f__Oxalobacteraceae	s__unclassified_f__Oxalobacteraceae	ASV353	16	0.000144129	0	0	4	0	0	0	0	12	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Methylophilaceae	g__Methylobacillus	s__unclassified_g__Methylobacillus	ASV354	12	0.000108096	0	0	0	0	0	0	0	12	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Deinococcota	c__Deinococci	o__Deinococcales	f__Deinococcaceae	g__Deinococcus	s__Deinococcus_sp._BM1	ASV265	53	0.000477426	0	0	0	5	2	19	14	11	2	0	0	0
