Genus	NA1	NA2	NA3	GNA1	GNA2	GNA3	mean1	mean2	FC	LOG2FC	PVALUE
g__Lysobacter	0	0	0	39	28	0	0	22.33333333	#DIV/0!	#DIV/0!	0.126726064
g__Sphingobium	0	11	16	0	0	0	9	0	0	#NUM!	0.129574709
g__Phycicoccus	0	0	0	2	3	0	0	1.666666667	#DIV/0!	#DIV/0!	0.131777567
g__Lechevalieria	47	0	31	0	0	0	26	0	0	#NUM!	0.132576906
g__Ferrovibrio	0	11	17	0	0	0	9.333333333	0	0	#NUM!	0.134050852
g__unclassified_f__Alcaligenaceae	2761	3076	2855	1499	2943	1175	2897.333333	1872.333333	0.646226415	-0.629888372	0.13657577
g__Halobacillus	0	0	0	0	19	31	0	16.66666667	#DIV/0!	#DIV/0!	0.13850343
g__Lechevalieria	77	0	47	0	0	0	41.33333333	0	0	#NUM!	0.138856983
g__Methyloversatilis	0	0	2	10	41	9	0.666666667	20	30	4.906890596	0.140104804
g__Streptomyces	0	0	0	0	5	3	0	2.666666667	#DIV/0!	#DIV/0!	0.140357387
g__Lysinimonas	0	0	0	17	10	0	0	9	#DIV/0!	#DIV/0!	0.142133763
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	66	95	125	362	683	110	95.33333333	385	4.038461538	2.0138058	0.15723578
g__unclassified_f__Xanthomonadaceae	0	0	0	7	14	0	0	7	#DIV/0!	#DIV/0!	0.158302423
g__Sphingomonas	0	0	0	0	10	20	0	10	#DIV/0!	#DIV/0!	0.158302423
g__unclassified_o__Burkholderiales	0	0	0	2	0	4	0	2	#DIV/0!	#DIV/0!	0.158302423
g__Ellin6055	3	0	6	0	0	0	3	0	0	#NUM!	0.158302423
g__Herbaspirillum	0	0	0	0	6	13	0	6.333333333	#DIV/0!	#DIV/0!	0.167079229
g__Delftia	75	70	102	75	61	41	82.33333333	59	0.71659919	-0.480761682	0.171003517
g__Cloacibacterium	0	0	0	3	7	0	0	3.333333333	#DIV/0!	#DIV/0!	0.175523369
g__norank_f__Magnetospiraceae	2	5	0	0	0	0	2.333333333	0	0	#NUM!	0.18356686
g__Mesorhizobium	28	11	0	0	0	0	13	0	0	#NUM!	0.185686434
g__Bacillus	0	0	0	7	18	0	0	8.333333333	#DIV/0!	#DIV/0!	0.18688309
g__Streptomyces	21	8	0	0	0	0	9.666666667	0	0	#NUM!	0.189317676
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0	46	31	0	0	11	25.66666667	3.666666667	0.142857143	-2.807354922	0.191982352
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	30	14	142	0	0	0	62	0	0	#NUM!	0.198456491
g__norank_f__Devosiaceae	14	0	40	0	0	0	18	0	0	#NUM!	0.199346994
g__Saccharothrix	0	7	20	0	0	0	9	0	0	#NUM!	0.199346994
g__Asticcacaulis	0	3	0	19	6	2	1	9	9	3.169925001	0.20071493
g__unclassified_f__Comamonadaceae	5	0	15	0	0	0	6.666666667	0	0	#NUM!	0.205106455
g__unclassified_c__Alphaproteobacteria	0	0	0	4	12	0	0	5.333333333	#DIV/0!	#DIV/0!	0.205106455
g__unclassified_f__Microbacteriaceae	0	0	0	0	17	5	0	7.333333333	#DIV/0!	#DIV/0!	0.219673534
g__Sphingobium	19	21	55	75	65	31	31.66666667	57	1.8	0.847996907	0.225903121
g__unclassified_c__Actinobacteria	9	0	6	0	3	0	5	1	0.2	-2.321928095	0.230199641
g__norank_f__norank_o__Oligoflexales	6	0	23	0	0	0	9.666666667	0	0	#NUM!	0.233159231
g__Devosia	125	133	223	87	158	48	160.3333333	97.66666667	0.609147609	-0.715136229	0.236052924
g__unclassified_f__Rhizobiaceae	0	0	0	0	8	32	0	13.33333333	#DIV/0!	#DIV/0!	0.237796144
g__Bradyrhizobium	0	153	90	0	48	0	81	16	0.197530864	-2.339850003	0.24044504
g__Sphingomonas	0	0	0	45	0	10	0	18.33333333	#DIV/0!	#DIV/0!	0.250157638
g__Chryseobacterium	0	0	0	3	14	0	0	5.666666667	#DIV/0!	#DIV/0!	0.253824301
g__unclassified_f__Rhizobiaceae	0	0	0	0	11	52	0	21	#DIV/0!	#DIV/0!	0.255107443
g__Methylobacillus	11	0	15	15	95	20	8.666666667	43.33333333	5	2.321928095	0.257257518
g__unclassified_o__Babeliales	0	2	10	0	0	0	4	0	0	#NUM!	0.260574547
g__unclassified_f__Comamonadaceae	0	0	0	8	42	0	0	16.66666667	#DIV/0!	#DIV/0!	0.26518152
g__Pseudomonas	0	0	0	20	134	4	0	52.66666667	#DIV/0!	#DIV/0!	0.267581944
g__Comamonas	98	0	18	0	0	0	38.66666667	0	0	#NUM!	0.26852423
g__unclassified_f__Xanthomonadaceae	21	17	31	47	222	34	23	101	4.391304348	2.134649527	0.268545872
g__Saccharothrix	0	0	6	28	10	0	2	12.66666667	6.333333333	2.662965013	0.274576629
g__Burkholderia-Caballeronia-Paraburkholderia	131	6	15	0	0	0	50.66666667	0	0	#NUM!	0.276566203
g__Pseudomonas	16	0	19	78	545	21	11.66666667	214.6666667	18.4	4.201633861	0.288713982
g__Pseudomonas	14	0	13	0	8	0	9	2.666666667	0.296296296	-1.754887502	0.29325782
g__unclassified_f__Comamonadaceae	0	0	0	9	0	72	0	27	#DIV/0!	#DIV/0!	0.299117595
g__Altererythrobacter	0	0	0	8	123	1082	0	404.3333333	#DIV/0!	#DIV/0!	0.300684153
g__Cohnella	0	69	8	0	0	0	25.66666667	0	0	#NUM!	0.304114547
g__Sphingopyxis	0	0	12	18	21	0	4	13	3.25	1.700439718	0.306346035
g__Rhodococcus	90	86	269	51	112	61	148.3333333	74.66666667	0.503370787	-0.990306604	0.308746705
g__Streptomyces	0	34	3	0	0	0	12.33333333	0	0	#NUM!	0.319834026
g__Leifsonia	75	1706	71	0	0	0	617.3333333	0	0	#NUM!	0.320108384
g__norank_f__Rhizobiales_Incertae_Sedis	0	6	6	0	0	4	4	1.333333333	0.333333333	-1.584962501	0.329460331
g__Ralstonia	40	0	54	2904	208	58	31.33333333	1056.666667	33.72340426	5.075678273	0.329736318
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0	0	0	34	211	4409	0	1551.333333	#DIV/0!	#DIV/0!	0.338924185
g__Paracoccus	3	0	13	0	3	0	5.333333333	1	0.1875	-2.415037499	0.34545222
g__Saccharothrix	699	24	0	0	0	0	241	0	0	#NUM!	0.352184677
g__Massilia	20	0	0	19	57	0	6.666666667	25.33333333	3.8	1.925999419	0.359100414
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0	0	10	10	23	0	3.333333333	11	3.3	1.722466024	0.361371339
g__Silvanigrella	0	0	0	0	141	0	0	47	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Erwiniaceae	0	0	0	0	34	0	0	11.33333333	#DIV/0!	#DIV/0!	0.373900966
g__Paenibacillus	0	0	0	0	33	0	0	11	#DIV/0!	#DIV/0!	0.373900966
g__Staphylococcus	0	0	0	0	17	0	0	5.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Paenibacillus	0	0	0	0	15	0	0	5	#DIV/0!	#DIV/0!	0.373900966
g__Acidibacter	0	0	0	0	15	0	0	5	#DIV/0!	#DIV/0!	0.373900966
g__Cellvibrio	0	0	0	0	15	0	0	5	#DIV/0!	#DIV/0!	0.373900966
g__Burkholderia-Caballeronia-Paraburkholderia	0	0	0	0	13	0	0	4.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Gordonia	0	0	0	0	9	0	0	3	#DIV/0!	#DIV/0!	0.373900966
g__Chryseobacterium	0	0	0	0	9	0	0	3	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__norank_o__C0119	0	0	0	0	8	0	0	2.666666667	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Sphingomonadaceae	0	0	0	0	8	0	0	2.666666667	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Comamonadaceae	0	0	0	0	8	0	0	2.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Sphingoaurantiacus	0	0	0	0	8	0	0	2.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Ramlibacter	0	0	0	0	8	0	0	2.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Sphingomonas	0	0	0	0	4	0	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Caedibacter	0	0	0	0	4	0	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Herpetosiphon	0	0	0	0	4	0	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Marinobacter	0	0	0	0	4	0	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__Xanthobacteraceae	0	0	0	0	4	0	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__Sandaracinaceae	0	0	0	0	4	0	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_c__Gammaproteobacteria	0	0	0	0	4	0	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Paenarthrobacter	0	0	0	0	4	0	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Xanthomonadaceae	0	0	0	0	4	0	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Brevundimonas	0	0	0	0	4	0	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Novosphingobium	0	0	0	0	4	0	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Corynebacterium	0	0	0	0	4	0	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__norank_o__Oligoflexales	0	0	0	0	2	0	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Desulfatiglans	0	0	0	0	2	0	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Gemella	0	0	0	0	2	0	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Coxiella	0	0	0	0	2	0	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Candidatus_Ovatusbacter	0	0	0	0	2	0	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Ellin6067	0	0	0	0	2	0	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Lapillicoccus	0	0	0	0	2	0	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Nocardioides	0	0	9	0	0	0	3	0	0	#NUM!	0.373900966
g__Bradyrhizobium	0	0	0	51	0	0	0	17	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Comamonadaceae	0	0	36	0	0	0	12	0	0	#NUM!	0.373900966
g__unclassified_c__Alphaproteobacteria	0	0	0	4	0	0	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Streptomyces	0	0	32	0	0	0	10.66666667	0	0	#NUM!	0.373900966
g__Rhodobacter	0	0	8	0	0	0	2.666666667	0	0	#NUM!	0.373900966
g__Legionella	0	0	2	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__unclassified_f__Caulobacteraceae	0	13	0	0	0	0	4.333333333	0	0	#NUM!	0.373900966
g__unclassified_f__Microbacteriaceae	9	0	0	0	0	0	3	0	0	#NUM!	0.373900966
g__norank_f__Reyranellaceae	0	0	0	0	0	2	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Nocardia	0	4	0	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__Peredibacter	0	0	2	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__Streptomyces	0	0	8	0	0	0	2.666666667	0	0	#NUM!	0.373900966
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0	0	0	39	0	0	0	13	#DIV/0!	#DIV/0!	0.373900966
g__Phenylobacterium	0	0	16	0	0	0	5.333333333	0	0	#NUM!	0.373900966
g__Acidibacter	0	0	0	15	0	0	0	5	#DIV/0!	#DIV/0!	0.373900966
g__RS25G	0	2	0	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__Paenibacillus	0	0	0	13	0	0	0	4.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Paenibacillus	0	0	0	13	0	0	0	4.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Altererythrobacter	0	0	0	13	0	0	0	4.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Lechevalieria	0	0	0	9	0	0	0	3	#DIV/0!	#DIV/0!	0.373900966
g__Burkholderia-Caballeronia-Paraburkholderia	0	0	0	8	0	0	0	2.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Phenylobacterium	0	0	0	8	0	0	0	2.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Aneurinibacillus	0	0	0	4	0	0	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Paenibacillus	0	0	0	4	0	0	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__Xanthobacteraceae	0	0	0	4	0	0	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__Diplorickettsiaceae	0	0	0	4	0	0	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Sphingomonas	0	0	0	4	0	0	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__Xanthobacteraceae	0	0	0	4	0	0	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Noviherbaspirillum	0	0	0	4	0	0	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__Paracaedibacteraceae	0	0	0	2	0	0	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Limibaculum	0	0	0	2	0	0	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Pseudoxanthobacter	0	0	0	2	0	0	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Bacillus	0	0	0	2	0	0	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Staphylococcus	0	0	0	2	0	0	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Devosia	0	17	0	0	0	0	5.666666667	0	0	#NUM!	0.373900966
g__Acidibacter	0	0	333	0	0	0	111	0	0	#NUM!	0.373900966
g__Bosea	4	0	0	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__Devosia	13	0	0	0	0	0	4.333333333	0	0	#NUM!	0.373900966
g__Terrabacter	0	0	2	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__norank_f__norank_o__0319-6G20	0	0	4	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__Nocardia	13	0	0	0	0	0	4.333333333	0	0	#NUM!	0.373900966
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	8	0	0	0	0	0	2.666666667	0	0	#NUM!	0.373900966
g__Phycicoccus	8	0	0	0	0	0	2.666666667	0	0	#NUM!	0.373900966
g__norank_f__TRA3-20	4	0	0	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__Tardiphaga	4	0	0	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__Pseudarthrobacter	4	0	0	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__unclassified_f__Xanthomonadaceae	4	0	0	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__Nocardioides	4	0	0	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__unclassified_f__Xanthobacteraceae	4	0	0	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__Bifidobacterium	2	0	0	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__unclassified_c__Actinobacteria	2	0	0	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__unclassified_f__Microbacteriaceae	0	0	18	0	0	0	6	0	0	#NUM!	0.373900966
g__Devosia	0	0	18	0	0	0	6	0	0	#NUM!	0.373900966
g__Ferrovibrio	0	0	17	0	0	0	5.666666667	0	0	#NUM!	0.373900966
g__Streptomyces	0	0	17	0	0	0	5.666666667	0	0	#NUM!	0.373900966
g__Paenibacillus	0	0	15	0	0	0	5	0	0	#NUM!	0.373900966
g__Nonomuraea	0	0	9	0	0	0	3	0	0	#NUM!	0.373900966
g__Ohtaekwangia	0	0	8	0	0	0	2.666666667	0	0	#NUM!	0.373900966
g__Comamonas	0	0	8	0	0	0	2.666666667	0	0	#NUM!	0.373900966
g__Phenylobacterium	0	0	8	0	0	0	2.666666667	0	0	#NUM!	0.373900966
g__Bradyrhizobium	0	0	8	0	0	0	2.666666667	0	0	#NUM!	0.373900966
g__Azospirillum	0	0	8	0	0	0	2.666666667	0	0	#NUM!	0.373900966
g__norank_f__Diplorickettsiaceae	0	0	4	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__Pannonibacter	0	0	4	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__Neochlamydia	0	0	4	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__Nocardioides	0	0	4	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__Paenibacillus	0	0	4	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__Haematobacter	0	0	4	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__Isoptericola	0	0	4	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__norank_f__norank_o__Oligoflexales	0	0	4	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__Sphingomonas	0	0	4	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__Aminobacter	0	0	4	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__norank_f__Longimicrobiaceae	0	0	2	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__Haliangium	0	0	2	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__unclassified_f__Parachlamydiaceae	0	0	2	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__Rubellimicrobium	0	0	2	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__Hyphomicrobium	0	0	2	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__norank_f__Caulobacteraceae	0	0	2	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__Arenimonas	0	0	2	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__Paenibacillus	0	62	0	0	0	0	20.66666667	0	0	#NUM!	0.373900966
g__unclassified_f__Alcaligenaceae	0	36	0	0	0	0	12	0	0	#NUM!	0.373900966
g__Paenibacillus	0	18	0	0	0	0	6	0	0	#NUM!	0.373900966
g__Paenibacillus	0	8	0	0	0	0	2.666666667	0	0	#NUM!	0.373900966
g__norank_f__Mitochondria	0	8	0	0	0	0	2.666666667	0	0	#NUM!	0.373900966
g__norank_f__67-14	0	4	0	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__norank_f__BIrii41	0	4	0	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__unclassified_f__Planococcaceae	0	4	0	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__Brevundimonas	0	4	0	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__Azospirillum	0	4	0	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__Massilia	0	4	0	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__Saccharothrix	0	4	0	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__Nannocystis	0	2	0	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__Bdellovibrio	0	2	0	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__unclassified_c__Alphaproteobacteria	0	2	0	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__Paenibacillus	0	2	0	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__Corynebacterium	0	2	0	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__Halobacillus	0	0	0	0	0	32	0	10.66666667	#DIV/0!	#DIV/0!	0.373900966
g__Rhodococcus	0	0	0	0	0	9	0	3	#DIV/0!	#DIV/0!	0.373900966
g__Paenibacillus	0	0	0	0	0	8	0	2.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Sphingobium	0	0	0	0	0	8	0	2.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Mycobacterium	0	0	0	0	0	4	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Comamonadaceae	0	0	0	0	0	4	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Pseudomonas	0	0	0	0	42	0	0	14	#DIV/0!	#DIV/0!	0.373900966
g__Pseudomonas	0	0	0	0	35	0	0	11.66666667	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Alcaligenaceae	0	0	0	0	28	0	0	9.333333333	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Methylophilaceae	0	0	0	0	24	0	0	8	#DIV/0!	#DIV/0!	0.373900966
g__Bacillus	0	0	0	0	24	0	0	8	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Solirubrobacteraceae	0	0	0	0	20	0	0	6.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Sphingomonas	0	0	0	0	20	0	0	6.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Massilia	0	0	0	0	20	0	0	6.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Paenibacillus	0	0	0	0	14	0	0	4.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Romboutsia	0	0	0	0	14	0	0	4.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Brevundimonas	0	0	0	0	14	0	0	4.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Massilia	0	0	0	0	14	0	0	4.666666667	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Comamonadaceae	0	0	0	0	14	0	0	4.666666667	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Oxalobacteraceae	0	0	0	0	12	0	0	4	#DIV/0!	#DIV/0!	0.373900966
g__Methylobacillus	0	0	0	0	12	0	0	4	#DIV/0!	#DIV/0!	0.373900966
g__Sporacetigenium	0	0	0	0	10	0	0	3.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Nocardioides	0	0	0	0	10	0	0	3.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Lechevalieria	0	0	0	0	10	0	0	3.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Bosea	0	0	0	0	10	0	0	3.333333333	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Xanthobacteraceae	0	0	0	0	7	0	0	2.333333333	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_c__Alphaproteobacteria	0	0	0	0	7	0	0	2.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Pseudoxanthobacter	0	0	0	0	7	0	0	2.333333333	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Oxalobacteraceae	0	0	0	0	7	0	0	2.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Reyranella	0	0	0	0	7	0	0	2.333333333	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Rhizobiaceae	0	0	0	0	7	0	0	2.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Diaphorobacter	0	0	0	0	7	0	0	2.333333333	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__BIrii41	0	0	0	0	5	0	0	1.666666667	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__norank_o__Kapabacteriales	0	0	0	0	5	0	0	1.666666667	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__Pedosphaeraceae	0	0	0	0	5	0	0	1.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Agromyces	0	0	0	0	5	0	0	1.666666667	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Oxalobacteraceae	0	0	0	0	5	0	0	1.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Cohnella	0	0	0	0	5	0	0	1.666666667	#DIV/0!	#DIV/0!	0.373900966
g__IMCC26207	0	0	0	0	3	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Marmoricola	0	0	0	0	3	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Isoptericola	0	0	0	0	3	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Blautia	0	0	0	0	3	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Aeromicrobium	0	0	0	0	3	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Nocardia	0	0	0	0	3	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Solirubrobacter	0	0	0	0	3	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Pajaroellobacter	0	0	0	0	3	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Geodermatophilaceae	0	0	0	0	3	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Ammoniphilus	0	0	0	0	3	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Streptomyces	0	5	0	0	0	0	1.666666667	0	0	#NUM!	0.373900966
g__Hyphomicrobium	0	0	0	7	0	0	0	2.333333333	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__BIrii41	0	0	0	10	0	0	0	3.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Paenibacillus	0	0	22	0	0	0	7.333333333	0	0	#NUM!	0.373900966
g__Bacillus	0	0	21	0	0	0	7	0	0	#NUM!	0.373900966
g__unclassified_o__Chlamydiales	0	0	0	3	0	0	0	1	#DIV/0!	#DIV/0!	0.373900966
