Genus	CA1	CA2	CA3	GCA1	GCA2	GCA3	mean1	mean2	FC	log2FC	pvalue
g__unclassified_f__Alcaligenaceae	1084	1993	1474	2163	3770	3402	1517	3111.666667	2.051197539	1.036466436	0.044802321
g__Devosia	0	24	0	30	55	80	8	55	6.875	2.781359714	0.046487421
g__Altererythrobacter	21	14	21	14	8	8	18.66666667	10	0.535714286	-0.900464326	0.047823464
g__Bradyrhizobium	8	10	24	0	0	0	14	0	0	#NUM!	0.049741244
g__Streptomyces	37	106	41	0	0	0	61.33333333	0	0	#NUM!	0.051766544
g__Herbaspirillum	0	0	0	146	132	28	0	102	#DIV/0!	#DIV/0!	0.051881099
g__Pseudolabrys	0	0	8	10	12	9	2.666666667	10.33333333	3.875	1.95419631	0.05246472
g__Gordonia	7	7	5	0	0	5	6.333333333	1.666666667	0.263157895	-1.925999419	0.060064898
g__unclassified_o__Burkholderiales	0	0	0	16	23	4	0	14.33333333	#DIV/0!	#DIV/0!	0.061093603
g__Delftia	34	44	50	61	63	95	42.66666667	73	1.7109375	0.77478706	0.06427965
g__Methylobacillus	11	17	12	38	20	25	13.33333333	27.66666667	2.075	1.053111336	0.065006413
g__unclassified_f__Comamonadaceae	36	54	58	72	93	64	49.33333333	76.33333333	1.547297297	0.629750422	0.069761469
g__Burkholderia-Caballeronia-Paraburkholderia	0	0	0	90	24	35	0	49.66666667	#DIV/0!	#DIV/0!	0.071760953
g__Sphingomonas	0	0	7	15	6	20	2.333333333	13.66666667	5.857142857	2.550197083	0.074021448
g__unclassified_f__Comamonadaceae	278	1070	610	78	122	119	652.6666667	106.3333333	0.162921348	-2.617752436	0.07642699
g__Sphingobium	12	20	19	0	14	0	17	4.666666667	0.274509804	-1.86507042	0.080589594
g__Pseudolabrys	507	65	359	28	0	0	310.3333333	9.333333333	0.030075188	-5.055282436	0.081913823
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	33	79	47	0	14	33	53	15.66666667	0.295597484	-1.758294104	0.088225582
g__Burkholderia-Caballeronia-Paraburkholderia	82	471	220	0	0	11	257.6666667	3.666666667	0.014230272	-6.134892985	0.089651159
g__Streptomyces	264	25	199	0	13	0	162.6666667	4.333333333	0.026639344	-5.230297619	0.091099307
g__Bradyrhizobium	37	36	52	59	49	56	41.66666667	54.66666667	1.312	0.39176772	0.094726898
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	54	294	114	0	0	0	154	0	0	#NUM!	0.099579412
g__Pseudomonas	69	29	40	170	94	74	46	112.6666667	2.449275362	1.29235498	0.102388359
g__Coxiella	54	7	25	0	0	0	28.66666667	0	0	#NUM!	0.104378312
g__norank_f__Mitochondria	0	0	0	0	6	6	0	4	#DIV/0!	#DIV/0!	0.116116524
g__Cellulomonas	0	0	0	2	0	2	0	1.333333333	#DIV/0!	#DIV/0!	0.116116524
g__unclassified_f__Xanthobacteraceae	29	0	30	0	0	0	19.66666667	0	0	#NUM!	0.116230774
g__Pseudolabrys	65	0	58	0	0	0	41	0	0	#NUM!	0.117403183
g__Nordella	0	8	9	0	0	0	5.666666667	0	0	#NUM!	0.117491019
g__Chthonobacter	0	7	6	0	0	0	4.333333333	0	0	#NUM!	0.118464799
g__Paenibacillus	0	0	0	7	0	6	0	4.333333333	#DIV/0!	#DIV/0!	0.118464799
g__Bosea	0	0	0	0	20	17	0	12.33333333	#DIV/0!	#DIV/0!	0.118724874
g__Shinella	0	11	13	0	0	0	8	0	0	#NUM!	0.118871406
g__Sphingomonas	0	0	0	11	13	0	0	8	#DIV/0!	#DIV/0!	0.118871406
g__Phenylobacterium	30	0	24	0	0	0	18	0	0	#NUM!	0.121003919
g__norank_f__BIrii41	14	110	47	0	0	5	57	1.666666667	0.029239766	-5.09592442	0.121344122
g__Micromonospora	0	0	0	18	23	0	0	13.66666667	#DIV/0!	#DIV/0!	0.121998296
g__Arthrobacter	0	7	9	0	0	0	5.333333333	0	0	#NUM!	0.122294245
g__Ferrovibrio	40	0	31	0	0	0	23.66666667	0	0	#NUM!	0.122468391
g__Phenylobacterium	0	0	0	16	0	12	0	9.333333333	#DIV/0!	#DIV/0!	0.124170236
g__unclassified_f__Caulobacteraceae	0	0	0	0	27	20	0	15.66666667	#DIV/0!	#DIV/0!	0.124864097
g__unclassified_f__Erwiniaceae	0	0	0	19	0	26	0	15	#DIV/0!	#DIV/0!	0.125651296
g__norank_f__Reyranellaceae	5	0	7	0	0	0	4	0	0	#NUM!	0.127046393
g__unclassified_f__Xanthomonadaceae	84	101	71	57	23	75	85.33333333	51.66666667	0.60546875	-0.723875595	0.12746471
g__norank_f__Moraxellaceae	3	59	31	0	0	0	31	0	0	#NUM!	0.127619619
g__Acidibacter	16	0	11	0	0	0	9	0	0	#NUM!	0.129574709
g__unclassified_f__Oxalobacteraceae	80	36	52	172	92	82	56	115.3333333	2.05952381	1.042310805	0.130422053
g__Ferrovibrio	0	0	0	19	28	0	0	15.66666667	#DIV/0!	#DIV/0!	0.130492686
g__norank_f__Diplorickettsiaceae	0	3	2	0	0	0	1.666666667	0	0	#NUM!	0.131777567
g__Leifsonia	0	2	3	0	0	0	1.666666667	0	0	#NUM!	0.131777567
g__Massilia	0	0	0	0	9	6	0	5	#DIV/0!	#DIV/0!	0.131777567
g__Polaromonas	232	0	152	0	0	0	128	0	0	#NUM!	0.13308602
g__Afipia	23	0	15	0	0	0	12.66666667	0	0	#NUM!	0.133438567
g__Ramlibacter	41	241	140	41	0	47	140.6666667	29.33333333	0.208530806	-2.26166757	0.135117166
g__Ohtaekwangia	0	8	5	0	0	0	4.333333333	0	0	#NUM!	0.136852441
g__Pseudorhodoplanes	661	0	409	0	0	0	356.6666667	0	0	#NUM!	0.137693792
g__Bosea	34	0	21	0	0	0	18.33333333	0	0	#NUM!	0.137846077
g__unclassified_f__Comamonadaceae	0	0	0	23	0	14	0	12.33333333	#DIV/0!	#DIV/0!	0.139097309
g__Lechevalieria	60	0	36	0	0	0	32	0	0	#NUM!	0.140357387
g__norank_f__norank_o__0319-6G20	10	0	6	0	0	0	5.333333333	0	0	#NUM!	0.140357387
g__Limnobacter	0	3	5	0	0	0	2.666666667	0	0	#NUM!	0.140357387
g__unclassified_f__Microbacteriaceae	0	0	0	0	6	10	0	5.333333333	#DIV/0!	#DIV/0!	0.140357387
g__Streptomyces	32	0	19	0	0	0	17	0	0	#NUM!	0.141290721
g__Roseomonas	33	0	19	0	0	0	17.33333333	0	0	#NUM!	0.144110023
g__Cellvibrio	0	0	0	0	7	4	0	3.666666667	#DIV/0!	#DIV/0!	0.144818327
g__unclassified_f__Microbacteriaceae	0	0	0	4	7	0	0	3.666666667	#DIV/0!	#DIV/0!	0.144818327
g__Paenibacillus	0	0	0	0	23	13	0	12	#DIV/0!	#DIV/0!	0.145855332
g__unclassified_o__Rhizobiales	32	0	18	0	0	0	16.66666667	0	0	#NUM!	0.146316785
g__Sphingobium	60	374	156	49	16	21	196.6666667	28.66666667	0.145762712	-2.77830639	0.146662045
g__Microbacterium	17	10	10	13	25	22	12.33333333	20	1.621621622	0.69743723	0.148789418
g__Mesorhizobium	17	0	9	0	0	0	8.666666667	0	0	#NUM!	0.152326334
g__unclassified_f__Comamonadaceae	0	32	16	0	0	0	16	0	0	#NUM!	0.158302423
g__Steroidobacter	0	16	8	0	0	0	8	0	0	#NUM!	0.158302423
g__Pseudomonas	0	14	7	0	0	0	7	0	0	#NUM!	0.158302423
g__Subgroup_10	0	6	3	0	0	0	3	0	0	#NUM!	0.158302423
g__Acidibacter	0	0	0	12	0	6	0	6	#DIV/0!	#DIV/0!	0.158302423
g__Sphingopyxis	0	13	17	0	3	0	10	1	0.1	-3.321928095	0.160276488
g__Reyranella	33	0	16	0	0	0	16.33333333	0	0	#NUM!	0.161626205
g__Steroidobacter	25	353	132	0	0	16	170	5.333333333	0.031372549	-4.994353437	0.163872794
g__Sorangium	0	19	9	0	0	0	9.333333333	0	0	#NUM!	0.16418576
g__unclassified_f__Oxalobacteraceae	0	30	0	0	105	125	10	76.66666667	7.666666667	2.938599455	0.171198937
g__Streptomyces	0	43	19	0	0	0	20.66666667	0	0	#NUM!	0.17201392
g__Deinococcus	0	0	0	5	2	19	0	8.666666667	#DIV/0!	#DIV/0!	0.173401134
g__Exiguobacterium	0	21	9	0	0	0	10	0	0	#NUM!	0.175523369
g__Silvanigrella	39	18	14	0	13	14	23.66666667	9	0.38028169	-1.394859617	0.177337063
g__Novosphingobium	17	0	7	0	0	0	8	0	0	#NUM!	0.180171293
g__Lechevalieria	1863	0	765	0	0	0	876	0	0	#NUM!	0.180494221
g__Ralstonia	0	11	0	159	32	29	3.666666667	73.33333333	20	4.321928095	0.180503654
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0	22	9	0	0	0	10.33333333	0	0	#NUM!	0.180932651
g__Steroidobacter	0	76	31	0	0	0	35.66666667	0	0	#NUM!	0.181275225
g__Streptomyces	0	10	4	0	0	0	4.666666667	0	0	#NUM!	0.18356686
g__Lechevalieria	121	0	50	0	5	0	57	1.666666667	0.029239766	-5.09592442	0.190496022
g__Rhodobacter	0	8	3	0	0	0	3.666666667	0	0	#NUM!	0.191179987
g__Saccharothrix	0	19	7	0	0	0	8.666666667	0	0	#NUM!	0.193274881
g__Streptomyces	71	0	26	0	0	0	32.33333333	0	0	#NUM!	0.19399174
g__Paenibacillus	15	41	0	0	0	0	18.66666667	0	0	#NUM!	0.194102868
g__Streptomyces	0	0	0	6	0	17	0	7.666666667	#DIV/0!	#DIV/0!	0.19835694
g__norank_f__Devosiaceae	68	11	60	17	19	23	46.33333333	19.66666667	0.424460432	-1.236298023	0.210616793
g__Phaselicystis	16	0	5	0	0	0	7	0	0	#NUM!	0.212666253
g__Sporocytophaga	0	10	3	0	0	0	4.333333333	0	0	#NUM!	0.217396623
g__Nocardioides	17	0	5	0	0	0	7.333333333	0	0	#NUM!	0.219673534
g__Ramlibacter	0	0	0	5	0	18	0	7.666666667	#DIV/0!	#DIV/0!	0.226169945
g__norank_f__norank_o__0319-6G20	22	0	6	0	0	0	9.333333333	0	0	#NUM!	0.228229166
g__unclassified_f__Microbacteriaceae	0	0	0	41	0	11	0	17.33333333	#DIV/0!	#DIV/0!	0.230057261
g__Ammoniphilus	0	34	9	0	0	0	14.33333333	0	0	#NUM!	0.23154956
g__Massilia	0	27	8	20	30	21	11.66666667	23.66666667	2.028571429	1.020464103	0.236078873
g__Nocardioides	0	166	56	4	14	3	74	7	0.094594595	-3.402098444	0.242383133
g__Ensifer	0	10	7	10	22	7	5.666666667	13	2.294117647	1.197939378	0.250157638
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0	71	54	0	24	14	41.66666667	12.66666667	0.304	-1.717856771	0.267048899
g__Aeromicrobium	2	11	0	0	0	0	4.333333333	0	0	#NUM!	0.269443371
g__Sphingomonas	0	0	0	14	0	2	0	5.333333333	#DIV/0!	#DIV/0!	0.289477469
g__norank_f__norank_o__Oligoflexales	7	30	18	0	12	14	18.33333333	8.666666667	0.472727273	-1.080919995	0.290924698
g__Diaphorobacter	0	0	0	218	13	15	0	82	#DIV/0!	#DIV/0!	0.294327696
g__Brevundimonas	6	8	0	9	6	8	4.666666667	7.666666667	1.642857143	0.716207034	0.306346035
g__Klebsiella	0	0	0	19	345	15	0	126.3333333	#DIV/0!	#DIV/0!	0.312236014
g__unclassified_f__Rhizobiaceae	19	43	17	32	40	37	26.33333333	36.33333333	1.379746835	0.464403577	0.313124191
g__unclassified_o__Enterobacterales	0	0	0	20	477	22	0	173	#DIV/0!	#DIV/0!	0.318601292
g__Micromonospora	0	5	3	0	18	8	2.666666667	8.666666667	3.25	1.700439718	0.329258208
g__Paenibacillus	0	15	0	18	0	27	5	15	3	1.584962501	0.34649037
g__norank_f__norank_o__211ds20	0	29	17	15	0	0	15.33333333	5	0.326086957	-1.61667136	0.350581718
g__unclassified_c__Alphaproteobacteria	7	0	7	0	0	5	4.666666667	1.666666667	0.357142857	-1.485426827	0.3545096
g__Azospirillum	22	82	32	50	52	170	45.33333333	90.66666667	2	1	0.35910878
g__Asticcacaulis	0	9	0	6	3	13	3	7.333333333	2.444444444	1.289506617	0.362155945
g__unclassified_f__Alcaligenaceae	0	23	0	0	47	24	7.666666667	23.66666667	3.086956522	1.626185163	0.362617533
g__Ramlibacter	0	27	0	0	22	102	9	41.33333333	4.592592593	2.199308808	0.373078066
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	8	0	0	0	0	0	2.666666667	0	0	#NUM!	0.373900966
g__unclassified_f__Oxalobacteraceae	0	0	0	109	0	0	0	36.33333333	#DIV/0!	#DIV/0!	0.373900966
g__Delftia	0	0	0	0	30	0	0	10	#DIV/0!	#DIV/0!	0.373900966
g__Rhodococcus	0	0	0	0	0	31	0	10.33333333	#DIV/0!	#DIV/0!	0.373900966
g__Bacillus	0	0	0	32	0	0	0	10.66666667	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Oxalobacteraceae	0	0	4	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__norank_f__norank_o__Oligoflexales	0	4	0	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__Pseudomonas	0	0	16	0	0	0	5.333333333	0	0	#NUM!	0.373900966
g__norank_f__norank_o__IMCC26256	0	0	4	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__Bacteroides	0	0	4	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__norank_f__norank_o__Microtrichales	0	0	4	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__unclassified_k__norank_d__Bacteria	0	0	4	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__Paenibacillus	0	0	4	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__norank_f__norank_o__norank_c__TK10	0	0	2	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__norank_f__norank_o__Actinomarinales	0	0	2	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__norank_f__Pedosphaeraceae	0	0	2	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__norank_f__Microtrichaceae	0	0	2	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__Herpetosiphon	0	0	0	0	57	0	0	19	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Alcaligenaceae	0	0	0	0	57	0	0	19	#DIV/0!	#DIV/0!	0.373900966
g__Ferrovibrio	0	0	0	0	36	0	0	12	#DIV/0!	#DIV/0!	0.373900966
g__Burkholderia-Caballeronia-Paraburkholderia	0	0	0	0	31	0	0	10.33333333	#DIV/0!	#DIV/0!	0.373900966
g__Massilia	0	0	0	0	26	0	0	8.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Ramlibacter	0	0	0	0	17	0	0	5.666666667	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__norank_o__211ds20	0	0	0	0	16	0	0	5.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Microbacterium	0	0	0	0	16	0	0	5.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Microbacterium	0	0	0	0	15	0	0	5	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Comamonadaceae	0	0	0	0	9	0	0	3	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Rhizobiaceae	0	0	0	0	9	0	0	3	#DIV/0!	#DIV/0!	0.373900966
g__Bauldia	0	0	0	0	9	0	0	3	#DIV/0!	#DIV/0!	0.373900966
g__Bacillus	0	0	0	0	9	0	0	3	#DIV/0!	#DIV/0!	0.373900966
g__Paenibacillus	0	0	0	0	8	0	0	2.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Nocardioides	0	0	0	0	8	0	0	2.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Roseomonas	0	0	0	0	4	0	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__Micropepsaceae	0	0	0	0	4	0	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Leifsonia	0	0	0	0	4	0	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__norank_o__Gaiellales	0	0	0	0	4	0	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Ammoniphilus	0	0	0	0	4	0	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Ellin6055	0	0	0	0	4	0	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Xanthobacteraceae	0	0	0	0	4	0	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0	0	0	0	4	0	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__norank_o__norank_c__vadinHA49	0	0	0	0	2	0	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__norank_o__0319-6G20	0	0	0	0	2	0	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Desulfovibrio	0	0	0	0	2	0	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__Gemmatimonadaceae	0	0	0	0	2	0	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__Pedosphaeraceae	0	0	0	0	2	0	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__67-14	0	0	0	0	2	0	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__Magnetospiraceae	0	0	0	0	2	0	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Cupriavidus	0	0	0	36	0	0	0	12	#DIV/0!	#DIV/0!	0.373900966
g__Streptomyces	0	0	0	18	0	0	0	6	#DIV/0!	#DIV/0!	0.373900966
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0	0	0	18	0	0	0	6	#DIV/0!	#DIV/0!	0.373900966
g__Blastococcus	0	0	0	17	0	0	0	5.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Ensifer	0	0	0	17	0	0	0	5.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Paenibacillus	0	0	0	13	0	0	0	4.333333333	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__Sandaracinaceae	0	0	0	9	0	0	0	3	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__norank_o__norank_c__MB-A2-108	0	0	0	9	0	0	0	3	#DIV/0!	#DIV/0!	0.373900966
g__Solirubrobacter	0	0	0	9	0	0	0	3	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_o__Rhizobiales	0	0	0	9	0	0	0	3	#DIV/0!	#DIV/0!	0.373900966
g__Steroidobacter	0	0	0	8	0	0	0	2.666666667	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Oxalobacteraceae	0	0	0	8	0	0	0	2.666666667	#DIV/0!	#DIV/0!	0.373900966
g__RS25G	0	0	0	4	0	0	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__P3OB-42	0	0	0	4	0	0	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Rubrobacter	0	0	0	4	0	0	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_o__Rhizobiales	0	0	0	4	0	0	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__Roseiflexaceae	0	0	0	2	0	0	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__norank_o__0319-6G20	0	0	0	2	0	0	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__norank_o__0319-6G20	0	0	0	2	0	0	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__norank_o__norank_c__TK10	0	0	0	2	0	0	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__norank_o__norank_c__Sericytochromatia	0	0	0	2	0	0	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__norank_o__Frankiales	0	0	0	2	0	0	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__IMCC26207	0	0	0	2	0	0	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Paenibacillus	0	0	0	0	0	34	0	11.33333333	#DIV/0!	#DIV/0!	0.373900966
g__Paenibacillus	32	0	0	0	0	0	10.66666667	0	0	#NUM!	0.373900966
g__norank_f__Diplorickettsiaceae	0	16	0	0	0	0	5.333333333	0	0	#NUM!	0.373900966
g__Streptomyces	0	39	0	0	0	0	13	0	0	#NUM!	0.373900966
g__Hyphomicrobium	0	30	0	0	0	0	10	0	0	#NUM!	0.373900966
g__Ensifer	0	18	0	0	0	0	6	0	0	#NUM!	0.373900966
g__norank_f__norank_o__C0119	0	16	0	0	0	0	5.333333333	0	0	#NUM!	0.373900966
g__unclassified_f__Xanthobacteraceae	0	16	0	0	0	0	5.333333333	0	0	#NUM!	0.373900966
g__Paenibacillus	0	15	0	0	0	0	5	0	0	#NUM!	0.373900966
g__Devosia	0	15	0	0	0	0	5	0	0	#NUM!	0.373900966
g__Devosia	0	15	0	0	0	0	5	0	0	#NUM!	0.373900966
g__Ensifer	0	15	0	0	0	0	5	0	0	#NUM!	0.373900966
g__Bacillus	0	9	0	0	0	0	3	0	0	#NUM!	0.373900966
g__Bauldia	0	9	0	0	0	0	3	0	0	#NUM!	0.373900966
g__Anaeromyxobacter	0	8	0	0	0	0	2.666666667	0	0	#NUM!	0.373900966
g__Sphingobium	0	8	0	0	0	0	2.666666667	0	0	#NUM!	0.373900966
g__norank_f__norank_o__Xanthomonadales	0	8	0	0	0	0	2.666666667	0	0	#NUM!	0.373900966
g__Devosia	0	8	0	0	0	0	2.666666667	0	0	#NUM!	0.373900966
g__Neochlamydia	0	4	0	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__Sphingomonas	0	4	0	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__Thioclava	0	4	0	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__norank_f__01D2Z36	0	4	0	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__Cohnella	0	4	0	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__norank_f__norank_o__norank_c__MB-A2-108	0	2	0	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__norank_f__norank_o__0319-6G20	0	2	0	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__unclassified_c__Alphaproteobacteria	0	2	0	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__Neochlamydia	0	2	0	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__Atopostipes	0	2	0	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__Agromyces	0	2	0	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__Agrococcus	0	2	0	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__Ramlibacter	0	0	0	0	0	260	0	86.66666667	#DIV/0!	#DIV/0!	0.373900966
g__Yonghaparkia	0	0	0	0	0	36	0	12	#DIV/0!	#DIV/0!	0.373900966
g__Cupriavidus	0	0	0	0	0	33	0	11	#DIV/0!	#DIV/0!	0.373900966
g__Ramlibacter	0	0	0	0	0	30	0	10	#DIV/0!	#DIV/0!	0.373900966
g__Paenibacillus	0	0	0	0	0	27	0	9	#DIV/0!	#DIV/0!	0.373900966
g__Devosia	0	0	0	0	0	18	0	6	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_c__Gammaproteobacteria	0	0	0	0	0	17	0	5.666666667	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Alcaligenaceae	0	0	0	0	0	17	0	5.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Noviherbaspirillum	0	0	0	0	0	16	0	5.333333333	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Oxalobacteraceae	0	0	0	0	0	16	0	5.333333333	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__norank_o__211ds20	0	0	0	0	0	15	0	5	#DIV/0!	#DIV/0!	0.373900966
g__Pseudonocardia	0	0	0	0	0	15	0	5	#DIV/0!	#DIV/0!	0.373900966
g__Herpetosiphon	0	0	0	0	0	9	0	3	#DIV/0!	#DIV/0!	0.373900966
g__Paenibacillus	0	0	0	0	0	9	0	3	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Oxalobacteraceae	0	0	0	0	0	9	0	3	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Rhizobiaceae	0	0	0	0	0	9	0	3	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_c__Gammaproteobacteria	0	0	0	0	0	8	0	2.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Tumebacillus	0	0	0	0	0	8	0	2.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Steroidobacter	0	0	0	0	0	8	0	2.666666667	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__BIrii41	0	0	0	0	0	8	0	2.666666667	#DIV/0!	#DIV/0!	0.373900966
